NodeName,Type,SocketName,Limit
tile,input,input-tile-id
tile,output,output-tile-visible,1
tile,output,output-tile-enabled,1
column,input,input-column-id
column,output,output-column-children
column,output,output-column-visible,1
column,output,output-column-enabled,1
box,input,input-box-id
box,output,output-box-visible,1
box,output,output-box-enabled,1
grid,input,input-grid-id
grid,output,output-grid-children
grid,output,output-grid-visible,1
grid,output,output-grid-enabled,1
and,input,input-and-id
and,output,output-and-conditions
or,input,input-or-id
or,output,output-or-conditions
not,input,input-not-id
not,output,output-not-condition,1
between,input,input-between-id
between,output,output-between-box,1
selected,input,input-selected-id
selected,output,output-selected-tile,1
header,input,input-header-id
header,output,output-header-visible,1
header,output,output-header-enabled,1
range,input,input-range-id
range,output,output-range-visible,1
range,output,output-range-enabled,1
root,output,output-root-children,1
